Codigo Municipio,Densidad,Umbral
08025,45.89,Poblado
08026,6.05,Despoblado11
08027,873.91,Poblado
08028,89.0,Poblado
08029,530.71,Poblado
08030,1084.1,Poblado
08031,390.13,Poblado
08032,4185.14,Poblado
08033,475.73,Poblado
08034,32.19,Poblado
08035,2447.33,Poblado
08036,5.33,Despoblado11
08037,437.76,Poblado
08038,169.33,Poblado
08039,73.47,Poblado
08040,2682.97,Poblado
08041,2481.18,Poblado
08042,112.08,Poblado
08043,346.28,Poblado
08044,1819.86,Poblado
08045,2.49,Despoblado11
08046,1524.08,Poblado
08047,69.14,Poblado
08048,67.78,Poblado
08049,55.68,Poblado
08050,5.31,Despoblado11
08051,545.79,Poblado
08052,3.61,Despoblado11
08053,135.1,Poblado
08054,407.04,Poblado
08055,22.17,Poblado
08056,5247.93,Poblado
08057,2.81,Despoblado11
08058,52.02,Poblado
08059,6.89,Despoblado11
08060,7.23,Despoblado11
08061,126.03,Poblado
08062,48.73,Poblado
08063,25.76,Poblado
08064,82.87,Poblado
08065,55.72,Poblado
08066,121.71,Poblado
08067,494.79,Poblado
08068,382.79,Poblado
08069,257.61,Poblado
08070,25.56,Poblado
08071,17.22,Poblado
08072,821.5,Poblado
08073,12960.81,Poblado
08074,1204.13,Poblado
08075,139.47,Poblado
08076,818.37,Poblado
08077,10348.89,Poblado
08078,7.57,Despoblado11
08079,39.8,Poblado
08080,1.75,Despoblado11
08081,11.36,Despoblado11
08082,47.83,Poblado
08083,207.03,Poblado
08084,28.67,Poblado
08085,38.85,Poblado
08086,684.3,Poblado
08087,11.28,Despoblado21
08088,884.41,Poblado
08089,1519.29,Poblado
08090,4.36,Despoblado11
08091,291.32,Poblado
08092,719.77,Poblado
08093,0.85,Despoblado11
08094,343.23,Poblado
08095,3.35,Despoblado11
08096,4178.93,Poblado
08097,68.7,Poblado
08098,87.39,Poblado
08099,15.12,Poblado
08100,52.88,Poblado
08101,19460.07,Poblado
08102,4984.76,Poblado
08103,26.56,Poblado
08104,17.51,Poblado
08105,4390.4,Poblado
08106,365.2,Poblado
08107,700.63,Poblado
08108,614.38,Poblado
08109,4.76,Despoblado11
08110,2155.86,Poblado
08111,25.07,Poblado
08112,1203.24,Poblado
08113,1878.26,Poblado
08114,2230.89,Poblado
08115,1317.76,Poblado
08116,43.38,Poblado
08117,143.22,Poblado
08118,7076.56,Poblado
08119,551.78,Poblado
08120,381.24,Poblado
08121,5790.13,Poblado
08122,50.37,Poblado
08123,1660.56,Poblado
08124,4727.45,Poblado
08125,1568.37,Poblado
08126,4286.71,Poblado
08127,266.83,Poblado
08128,32.58,Poblado
08129,16.17,Poblado
08130,5.03,Despoblado11
08131,216.08,Poblado
08132,6.21,Despoblado11
08133,11.62,Despoblado21
08134,75.38,Poblado
08135,2267.53,Poblado
08136,1641.02,Poblado
08137,11.73,Despoblado11
08138,85.27,Poblado
08139,4.8,Despoblado11
08140,1099.28,Poblado
08141,74.0,Poblado
08142,5.91,Despoblado11
08143,70.4,Poblado
08144,24.68,Poblado
08145,128.32,Poblado
08146,62.48,Poblado
08147,1445.9,Poblado
08148,106.34,Poblado
08149,41.06,Poblado
08150,10.76,Despoblado11
08151,8.3,Despoblado11
08152,11.27,Despoblado11
08153,140.87,Poblado
08154,150.0,Poblado
08155,584.25,Poblado
08156,992.48,Poblado
08157,1373.79,Poblado
08158,478.19,Poblado
08159,2064.08,Poblado
08160,20.97,Poblado
08161,286.81,Poblado
08162,91.46,Poblado
08163,2715.92,Poblado
08164,137.33,Poblado
08165,118.98,Poblado
08166,20.63,Poblado
08167,964.13,Poblado
08168,20.29,Poblado
08169,1948.04,Poblado
08170,21.18,Poblado
08171,195.84,Poblado
08172,14552.55,Poblado
08174,847.69,Poblado
08175,92.92,Poblado
08176,6.6,Despoblado11
08177,1.74,Despoblado11
08178,11.53,Despoblado11
08179,48.63,Poblado
08180,8895.23,Poblado
08181,290.42,Poblado
08182,146.25,Poblado
08183,2891.93,Poblado
08184,2441.68,Poblado
08185,4.62,Despoblado11
08187,5760.83,Poblado
08188,3.12,Despoblado11
08189,7.44,Despoblado11
08190,4.84,Despoblado11
08191,102.86,Poblado
08192,451.7,Poblado
08193,80.74,Poblado
08194,9559.74,Poblado
08195,7.06,Despoblado11
08196,4818.26,Poblado
08197,940.13,Poblado
08198,458.55,Poblado
08199,26.34,Poblado
08200,3803.59,Poblado
08201,28.58,Poblado
08202,277.84,Poblado
08203,225.66,Poblado
08204,388.96,Poblado
08205,1950.05,Poblado
08206,159.62,Poblado
08207,281.41,Poblado
08208,420.51,Poblado
08209,681.07,Poblado
08210,426.21,Poblado
08211,3794.91,Poblado
08212,26.78,Poblado
08213,403.98,Poblado
08214,1010.47,Poblado
08215,3941.11,Poblado
08216,0.89,Despoblado11
08217,6072.95,Poblado
08218,664.08,Poblado
08219,5286.87,Poblado
08220,194.57,Poblado
08221,2487.68,Poblado
08222,126.56,Poblado
08223,61.06,Poblado
