Codigo Municipio,Nº Establecimientos Agricultura,Nº Establecimientos Industria,Nº Establecimientos Construccion,Nº Establecimientos Servicios
24057,2.0,10.0,2.0,36.0
24058,1.0,0.0,1.0,4.0
24059,2.0,2.0,5.0,14.0
24060,1.0,2.0,3.0,10.0
24061,1.0,2.0,5.0,33.0
24062,1.0,1.0,0.0,2.0
24063,3.0,0.0,1.0,6.0
24064,1.0,10.0,10.0,29.0
24065,4.0,5.0,14.0,30.0
24066,1.0,0.0,0.0,7.0
24067,0.0,24.0,1.0,16.0
24068,0.0,1.0,2.0,5.0
24069,1.0,0.0,0.0,1.0
24070,1.0,4.0,18.0,82.0
24071,1.0,3.0,7.0,12.0
24073,4.0,1.0,3.0,8.0
24074,1.0,0.0,0.0,0.0
24076,0.0,3.0,6.0,14.0
24077,4.0,2.0,0.0,4.0
24078,2.0,2.0,3.0,5.0
24079,4.0,0.0,2.0,8.0
24080,1.0,0.0,1.0,1.0
24081,0.0,0.0,0.0,1.0
24082,0.0,7.0,8.0,29.0
24083,3.0,1.0,1.0,12.0
24084,3.0,1.0,0.0,3.0
24086,1.0,0.0,1.0,4.0
24087,4.0,0.0,1.0,8.0
24088,0.0,2.0,4.0,16.0
24089,20.0,247.0,478.0,5350.0
24090,1.0,0.0,1.0,4.0
24091,1.0,1.0,0.0,15.0
24092,2.0,4.0,4.0,12.0
24093,1.0,2.0,3.0,3.0
24094,1.0,12.0,9.0,77.0
24095,6.0,0.0,1.0,5.0
24096,0.0,0.0,1.0,2.0
24097,6.0,1.0,0.0,6.0
24098,2.0,6.0,8.0,17.0
24099,3.0,0.0,0.0,6.0
24100,3.0,4.0,0.0,20.0
24101,4.0,0.0,0.0,6.0
24102,3.0,2.0,1.0,10.0
24103,0.0,3.0,1.0,1.0
24104,1.0,0.0,0.0,2.0
24105,2.0,55.0,19.0,148.0
24106,1.0,2.0,1.0,5.0
24107,5.0,2.0,0.0,1.0
24108,1.0,4.0,2.0,5.0
24109,0.0,0.0,2.0,12.0
24110,3.0,4.0,1.0,15.0
24112,0.0,0.0,0.0,3.0
24113,0.0,1.0,2.0,12.0
24114,8.0,11.0,19.0,59.0
