Codigo Municipio,Nº Hombres Extranjeros,Nº Mujeres Extranjeras,Nº Total Extranjeros
24009,6.0,7.0,13.0
50042,1.0,,1.0
22045,3.0,2.0,5.0
27004,14.0,9.0,23.0
08017,154.0,168.0,322.0
20904,1.0,2.0,3.0
02014,14.0,12.0,27.0
13022,8.0,5.0,13.0
22046,33.0,30.0,64.0
48090,287.0,316.0,603.0
03020,16.0,10.0,26.0
02013,10.0,7.0,17.0
08018,198.0,136.0,334.0
34022,22.0,18.0,40.0
32005,56.0,31.0,87.0
22047,6.0,8.0,14.0
32006,78.0,93.0,171.0
07007,45.0,31.0,76.0
03021,195.0,151.0,346.0
43020,148.0,126.0,275.0
17015,2151.0,1726.0,3877.0
15007,97.0,96.0,193.0
26024,17.0,8.0,25.0
24010,349.0,459.0,808.0
37039,5.0,6.0,11.0
44034,4.0,,4.0
01011,19.0,11.0,30.0
23011,14.0,19.0,33.0
32007,64.0,47.0,111.0
