Codigo Municipio,Nº viviendas
25061,103.0
50065,149.0
14013,10120.0
44048,141.0
43036,973.0
23017,1271.0
33008,1514.0
33009,1202.0
31063,95.0
42044,61.0
42045,366.0
08028,1116.0
08029,2264.0
28030,1722.0
37067,1746.0
10036,371.0
47029,72.0
24028,332.0
24029,626.0
37068,367.0
08030,3087.0
39014,674.0
24030,3106.0
10037,50293.0
10038,85.0
18034,522.0
10039,395.0
28031,2862.0
17032,3475.0
18035,1290.0
11012,59186.0
31064,942.0
50066,2229.0
18036,2333.0
21016,758.0
40037,83.0
44049,903.0
08031,1793.0
43037,26981.0
26036,12399.0
34041,102.0
18114,583.0
44050,3591.0
06025,2703.0
44051,2317.0
21017,2808.0
30013,5496.0
42046,89.0
50067,11613.0
50068,1623.0
50069,82.0
36005,4054.0
22072,207.0
08034,596.0
17033,3543.0
08033,7437.0
08032,1940.0
08035,10615.0
06026,715.0
45028,2742.0
09064,431.0
45029,362.0
18037,404.0
12034,1507.0
08037,943.0
46079,716.0
03049,8448.0
03048,4061.0
08038,894.0
50070,110.0
44052,131.0
17034,12711.0
08036,159.0
03047,24954.0
42048,233.0
37069,1184.0
37070,498.0
07011,36330.0
32016,1169.0
37071,115.0
13027,3031.0
37072,178.0
34042,195.0
45030,839.0
37073,512.0
24031,227.0
10040,550.0
06027,416.0
49032,350.0
39015,849.0
44053,90.0
25062,735.0
45031,2924.0
44054,426.0
45032,354.0
39016,13620.0
44055,188.0
15016,4205.0
43903,1712.0
28032,2903.0
49033,656.0
41021,12726.0
36006,6793.0
23018,1748.0
15017,12830.0
43038,30750.0
10041,851.0
44056,540.0
17035,285.0
41022,2463.0
06028,3480.0
07012,1517.0
47030,838.0
24032,115.0
17036,1762.0
17037,162.0
03050,26605.0
01017,895.0
16042,1315.0
50071,246.0
09065,195.0
23019,1017.0
37074,181.0
10042,169.0
19059,154.0
45033,510.0
06029,942.0
19060,366.0
21018,1295.0
47031,229.0
29032,4054.0
16043,235.0
16044,166.0
08039,277.0
19061,157.0
17038,267.0
22074,696.0
13028,7019.0
03051,314.0
37077,181.0
40039,362.0
24033,201.0
36007,936.0
10043,795.0
28033,2844.0
21019,465.0
09066,129.0
24034,2181.0
39027,2159.0
39017,486.0
47032,154.0
22075,237.0
46080,1183.0
07013,6769.0
16901,1311.0
30014,1143.0
18038,788.0
17039,2799.0
26037,183.0
45034,1186.0
22076,406.0
47033,244.0
16045,380.0
05046,28.0
26038,195.0
46081,6769.0
33010,1052.0
22077,293.0
38011,14069.0
37078,1069.0
05047,5102.0
42049,139.0
24036,402.0
25063,82.0
23020,1014.0
28034,692.0
17040,331.0
08040,7720.0
46082,9243.0
12036,734.0
22078,1343.0
36008,14445.0
33012,3755.0
33011,7096.0
09067,468.0
18039,2457.0
37079,67.0
29033,936.0
29034,803.0
47034,114.0
26039,92.0
04030,870.0
43907,2318.0
08041,6343.0
08042,1403.0
19064,151.0
09068,130.0
37080,231.0
37081,790.0
40040,2702.0
17041,199.0
19065,222.0
37082,740.0
37083,216.0
44059,628.0
41023,4964.0
40041,941.0
05048,100.0
04031,2498.0
08043,2394.0
03052,733.0
44060,81.0
13029,97.0
44061,97.0
16046,338.0
16047,248.0
41901,1456.0
44062,53.0
42050,99.0
16048,499.0
10044,1959.0
18040,315.0
26040,84.0
16049,180.0
10045,1048.0
21020,378.0
16050,398.0
16051,233.0
16052,860.0
14014,1668.0
29035,1125.0
36009,3730.0
49034,485.0
19066,105.0
44063,161.0
16053,480.0
49035,242.0
43039,162.0
31065,1348.0
43040,286.0
07014,7505.0
22079,110.0
15018,644.0
22080,263.0
08044,2584.0
18042,623.0
06030,207.0
34045,64.0
17042,384.0
08045,46.0
42051,61.0
28035,1649.0
42052,35.0
13030,127.0
18043,159.0
30015,13047.0
33013,492.0
09070,82.0
49036,532.0
10046,197.0
37085,2999.0
32018,1293.0
32017,1449.0
27009,1567.0
32019,10378.0
15019,16579.0
49037,161.0
04032,6267.0
16055,787.0
40043,1463.0
23021,333.0
10047,637.0
14015,1483.0
46083,11953.0
31066,522.0
31067,1230.0
09071,55.0
09072,292.0
02020,477.0
46084,1035.0
23901,854.0
08046,7613.0
26041,154.0
16056,829.0
14016,1342.0
09073,704.0
09074,593.0
05049,416.0
34046,35.0
09075,87.0
45035,625.0
08047,2611.0
19067,367.0
50072,506.0
50073,1718.0
15901,3372.0
46085,7093.0
14017,7087.0
08048,486.0
45036,740.0
24037,515.0
41024,14784.0
06031,319.0
15020,3391.0
23024,7552.0
47035,637.0
37086,71.0
45037,1597.0
14018,2231.0
24038,1773.0
15021,3615.0
45038,2503.0
37087,689.0
37088,174.0
40044,179.0
10048,396.0
06032,61.0
16057,175.0
42053,65.0
16058,121.0
42054,46.0
29036,487.0
33014,6217.0
05051,267.0
09076,31.0
45039,276.0
46086,82.0
13031,1558.0
41025,1274.0
34047,1619.0
24039,1772.0
13032,1023.0
24040,506.0
30016,115749.0
29037,196.0
29038,11176.0
21021,11967.0
32020,2421.0
39018,2785.0
24041,515.0
19070,176.0
29039,1717.0
37089,104.0
26042,1798.0
10049,2826.0
45040,3156.0
10050,1019.0
19071,6296.0
29040,1578.0
42055,188.0
29041,3694.0
10051,490.0
41026,2740.0
45041,4854.0
28036,1240.0
46087,304.0
46088,631.0
16060,863.0
10052,208.0
10053,322.0
06033,1533.0
16061,740.0
16062,145.0
16063,112.0
16064,655.0
02021,852.0
02022,539.0
16065,289.0
10056,607.0
10057,226.0
06034,227.0
19073,78.0
02023,745.0
10054,994.0
37090,155.0
10055,457.0
05052,168.0
45042,196.0
49038,132.0
49039,267.0
02024,2608.0
16066,1987.0
