Codigo Municipio,Total impuestos (Millones euros)
41020,3.841
42020,1.783
43020,0.9692
44020,0.00936
45020,0.371455
46020,1.604153
47020,0.07223710000000001
48020,91.3
49020,0.0504
50020,0.3795
01021,0.2852
02021,0.3693
03021,2.69531756
04021,0.040977
05021,0.7249
06021,0.14382
07021,0.14069378
08021,0.018
09021,0.024
10021,1.276292
11021,2.55433889
12021,2.88
13021,0.119
14021,128.34957
15021,1.758
17021,0.11994432000000001
18021,7.13557194
19021,0.36145
20021,0.0805462
21021,10.24
22021,0.978
23021,0.122498
24021,0.9405
25021,0.9112
26021,1.30507272
27021,0.387
28021,0.6037
29021,0.0
30021,6.05002
31021,0.01466
32021,0.1855
33021,1.33533282
35021,4.8831991299999995
36021,3.07032635
37021,0.026075
38021,1.017102
39021,0.06704113
40021,0.01
41021,7.151868400000001
42021,0.0
43021,0.15132271
44021,0.032
45021,1.85806172
46021,12.605
47021,0.0268
48021,0.2190645
49021,5.064258570000001
50021,0.008415
01022,0.4425
02022,0.200517
03022,0.038788
04022,0.3586
05022,0.6276131500000001
06022,0.52481284
07022,7.301
08022,5.0826
09022,0.0239
10022,0.1029
11022,20.794301
12022,0.173272
13022,0.191
14022,0.8705
15022,1.655
16022,0.01570444
17022,3.4413
18022,6.21
19022,0.0
20022,0.223
21022,0.05
22022,0.16386649
24022,0.062078
25022,0.031
26022,0.0959
27022,0.9504
28022,29.602
29022,0.0
30022,8.325
31022,0.13553053
32022,0.504
33022,0.165
34022,0.536735
35022,15.303338
36022,3.330001
37022,0.067
38022,3.9505
39022,0.389
40022,0.051792
41022,1.2121
42022,0.11545122000000001
43022,0.30448217000000005
44022,0.1235
45022,0.08731628
46022,9.024722879999999
47022,0.0211
48022,0.515
49022,0.0521
50022,0.20381416
01023,0.14261138
02023,0.185903
03023,0.6459
04023,0.01521
05023,0.049037
06023,1.361077
07023,1.985
08023,5.4975
09023,0.317
10023,0.13021388
11023,3.1345
13023,4.45585
14023,0.0
15023,1.723
16023,0.20325684
17023,15.03435358
18023,5.128471439999999
19023,0.118
20023,0.07392
21023,0.3176
22023,0.16842933999999998
24023,0.12276264000000002
25023,2.0631
26023,0.193
27023,0.355074
28023,3.227995
29023,9.872724949999999
30023,1.203
31023,3.873
32023,0.32
33023,0.827
34023,2.5402
35023,2.922352
36023,1.623
37023,0.8206
38023,65.20112268000001
39023,2.57737673
41023,2.72084043
42023,0.0162
43023,0.0367
44023,0.0
45023,0.852779
46023,0.1473
47023,2.3745
48023,0.22543733
49023,0.344
50023,0.03922507
02024,1.3456902
03024,1.1448764599999999
04024,1.16140571
05024,0.087
06024,0.28812801
07024,3.526
08024,0.2265
09024,0.04971
10024,0.51816294
11024,2.64455622
12024,0.0243
13024,0.2512
14024,0.3822
15024,1.93207579
16024,0.0
17024,0.765
18024,0.140451
19024,3.798482
20024,0.10387796
21024,0.20258332
22024,0.122751
23024,4.2245
24024,0.1925363
25024,0.30320308999999995
26024,0.159
27024,0.33965951
28024,0.089
29024,0.0675
30024,30.48578
31024,0.105
32024,1.27931473
33024,105.3504
34024,0.020351
35024,13.609
36024,5.245
37024,0.058240400000000005
38024,4.225
39024,1.4005
40024,0.5605
41024,9.92033244
42024,0.095
43024,0.980751
44024,0.00695
45024,0.256935
46024,0.33353032
47024,0.04092639
48024,0.40395
49024,0.197483
50024,0.258
02025,3.04
03025,0.4915
05025,0.02523
06025,1.28123085
07025,0.17537849
08025,0.7019
09025,0.14547457
10025,0.0
11025,1.413
12025,0.0
13025,0.069
14025,0.9784285500000001
15025,0.19
16025,0.007936
17025,0.4251
18025,0.02812418
20025,0.3521
21025,1.32006564
22025,0.439
23025,1.04245148
24025,0.08608141999999999
25025,3.161
26025,0.0890701
27025,3.5887
28025,0.1278
29025,51.26307958
30025,3.069
31025,0.315386
32025,0.276586
33025,4.83496749
34025,0.0306
35025,0.24493
36025,0.37553076
37025,0.113
38025,1.572427
39025,2.51106944
40025,0.0466
41025,1.451914
42025,0.525
43025,0.188
44025,4.105
45025,0.331
46025,0.93857
47025,0.0
48025,0.27535679
49025,0.044112
50025,2.17
02026,0.227028
03026,0.592998
04026,0.007686
05026,0.057
06026,0.2635
07026,18.655181
08026,0.1794
09026,0.185188
10026,0.3453
11026,1.4840373199999999
12026,0.5144
13026,0.111
14026,1.0613
15026,0.307
16026,0.06211
17026,0.17592731
20026,0.1088
21026,0.0527
23026,0.0
24026,0.31660871999999995
26026,0.49
27026,0.499003
28026,4.847
29026,0.2902
30026,15.689
31026,0.0824
32026,0.378
33026,2.5572
35026,27.14013961
36026,3.7133
37026,0.0
38026,9.06
39026,0.51351923
40026,0.0
41026,1.1676333700000001
42026,0.0
43026,0.293
44026,0.115
45026,0.09318445
46026,0.41122874
47026,0.031348
48026,0.7818685
49026,0.0305
50026,0.0833
01027,0.176
02027,0.1268
03027,0.088159
04027,0.052859
05027,0.06735
06027,0.25249004999999997
07027,11.4257
08027,0.779758
09027,0.00575
10027,0.00983523
11027,51.07379
12027,8.43118116
13027,1.5646378399999998
14027,2.1362
15027,0.3977
16027,0.43033225
17027,1.48
18027,0.42113
19027,0.0669
20027,1.23605027
21027,0.0
22027,0.077
23027,0.23513
24027,0.19005
25027,0.30956642
26027,0.0455
27027,0.515
28027,0.8291106
29027,0.767
30027,26.2435
31027,0.289
32027,0.25000534
33027,0.55327654
34027,0.0
35027,3.6993195599999997
36027,0.817
37027,0.0645
38027,1.8492
39027,0.9264
41027,1.2495
42027,0.0581
43027,0.05242
44027,0.0
45027,0.15493624
46027,0.412
47027,0.7325
48027,7.06
49027,0.0216
50027,0.053
01028,0.6449
02028,0.0
03028,0.23886593
04028,0.037966879999999995
06028,1.2529
07028,0.2643
08028,0.6
10028,0.04936192
11028,19.217335379999998
12028,19.32972745
13028,3.698203
14028,0.043321069999999996
15028,0.38750407000000003
17028,0.1423
18028,0.2019
20028,0.53915
21028,0.0
22028,0.0982
23028,1.89276507
24028,0.089
26028,0.0765
27028,33.97585
28028,0.95883
29028,0.2635
30028,2.3506
31028,0.04381
32028,0.23128487
33028,0.26625718
34028,0.0226
35028,12.24893043
36028,1.08703912
37028,0.20751007000000002
38028,22.575034379999998
39028,1.32
40028,0.0
41028,0.0
42028,0.0
43028,2.363
44028,0.033
45028,1.257
46028,0.30156
47028,0.0096022
48028,0.11133003999999999
49028,0.022635
50028,0.012751
02029,2.14910444
03029,0.1023
04029,4.782
05029,0.02422
06029,0.32270767
07029,2.157
08029,4.0655
09029,0.0472
10029,0.10045
11029,1.083
12029,0.391754
13029,0.0
14029,1.027
15029,1.3925
16029,0.16419
17029,0.0888
18029,0.38448737
20029,2.1487185899999997
21029,0.4586
22029,0.029887
23029,0.40264533999999996
24029,0.15747107999999999
25029,0.5734
26029,0.0738
27029,0.42797599
28029,0.36495
29029,0.0
30029,5.03279923
31029,0.8585
32029,0.36838006
33029,0.259346
34029,0.26112
35029,3.13468516
36029,3.23653757
37029,0.0474
38029,0.2037
39029,0.358
40029,0.0
41029,4.3153
42029,0.05719
43029,0.1421
44029,0.18235
45029,0.04929116
46029,8.963
47029,0.0285
48029,3.427
49029,0.081
50029,0.145
01030,0.08863
02030,1.519146
03030,0.501
04030,0.26107613
05030,0.014192799999999998
06030,0.4757
07030,0.451
08030,4.031
09030,0.0845
10030,0.290416
11030,17.013
13030,0.03524684
14030,2.6796458199999997
15030,96.282451
16030,0.003505
17030,0.2035
18030,0.0835
20030,7.2699
21030,0.5421
23030,0.36475236
24030,1.2073571600000002
25030,0.05675
26030,0.0175
27030,0.8050753100000001
28030,0.973
29030,0.12499751999999999
30030,185.833
31030,0.047
32030,0.113
33030,0.1465
35030,4.00875753
36030,0.7217
37030,0.01865025
38030,0.5665118100000001
39030,0.59368657
40030,0.1865
41030,0.1683815
42030,0.0936
43030,0.1377
45030,0.19249533000000002
46030,0.406565
47030,0.263
48030,0.2335
49030,0.020971
50030,0.0
01031,0.0
02031,0.0
03031,42.479
04031,3.456083
06031,0.091222
07031,17.96
08031,1.0875
10031,0.046666
11031,25.5975
12031,2.40182289
13031,0.8275
14031,0.14365
15031,7.574498650000001
16031,0.00929
17031,0.0507
19031,0.013
20031,0.05326
21031,0.139807
23031,0.144429
24031,0.0587
25031,0.0128895
26031,0.077
27031,3.61086926
28031,1.07073316
29031,0.31498163
30031,0.1352
31031,0.12845
32031,0.1779455
33031,10.611251
34031,0.0
35031,2.20587875
36031,0.21965
37031,0.0831
38031,6.13428171
39031,0.6500909399999999
40031,0.0
41031,0.4793057
42031,0.0
43031,0.4602
44031,0.03932729
45031,1.0925
46031,4.6652
47031,0.08299
48031,0.0565
49031,0.02268
50031,0.028015
01032,0.23081593
02032,0.0
03032,0.028621090000000002
04032,7.8106654
06032,0.0192
07032,16.137925
08032,1.719
09032,0.035
10032,0.4547
11032,21.632
12032,11.96680021
13032,0.235
14032,0.0948
15032,0.7167414599999999
16032,0.08783742
17032,2.363175
18032,0.15679847
