Codigo Municipio,Superficie Km2,Densidad Poblacion
08035,7.86,2378.37
08036,37.13,5.33
08037,5.72,424.13
08038,12.39,156.58
08039,7.35,65.31
08040,5.52,2549.28
08041,6.8,2331.03
08042,28.72,98.12
08043,14.11,303.47
08044,2.92,1881.51
08045,34.18,2.49
08046,12.21,1412.04
08047,66.43,77.01
08048,11.33,73.79
08049,29.38,54.29
08050,32.77,5.31
08051,45.18,514.34
08052,46.83,3.61
08053,28.52,130.12
08054,30.98,395.97
08055,33.96,19.58
08056,12.81,4928.88
08057,24.92,2.81
08058,47.14,47.16
08059,59.39,6.89
08060,26.29,7.23
08061,17.29,113.71
08062,29.14,37.44
08063,25.35,21.7
08064,31.76,74.81
08065,28.66,57.54
08066,16.4,109.27
08067,15.35,479.48
08068,24.12,358.67
08069,18.07,234.75
08070,15.14,22.92
08071,18.7,17.75
08072,18.28,769.37
08073,6.89,12662.26
08074,13.33,1072.24
08075,40.76,125.69
08076,27.32,804.76
08077,4.52,10328.98
08078,35.38,7.57
08079,10.25,38.34
08080,29.65,1.75
08081,39.89,11.36
08082,32.2,46.52
08083,10.96,203.38
08084,52.15,27.17
08085,37.07,39.55
08086,29.74,628.55
08087,16.23,12.57
08088,18.92,805.29
08089,30.89,1497.25
08090,39.42,4.36
08091,26.51,267.26
08092,6.83,744.22
08093,36.6,0.85
08094,6.43,310.26
08095,23.85,3.35
08096,14.95,4013.38
08097,23.07,56.87
08098,37.11,84.77
08099,61.43,16.72
08100,51.15,49.62
08101,13.6,18828.31
08102,8.2,4779.39
08103,31.06,26.4
08104,52.36,17.86
08105,3.02,4543.38
08106,27.7,335.49
08107,22.37,646.22
08108,10.71,597.95
08109,53.33,4.76
08110,8.79,2098.29
08111,11.01,23.52
08112,17.29,1182.48
08113,41.63,1839.75
08114,12.85,2136.73
08115,3.66,1339.62
08116,16.23,47.01
08117,22.19,143.04
08118,3.37,6683.38
08119,17.44,476.49
08120,25.37,338.35
08121,22.3,5554.62
08122,48.02,48.88
08123,15.72,1563.1
08124,10.82,4843.72
08125,23.46,1459.16
08126,2.86,3754.9
08127,11.91,252.64
08128,21.98,31.35
08129,40.5,14.02
08130,22.28,5.03
08131,4.85,185.77
08132,76.44,6.21
08133,13.6,14.41
08134,14.95,74.38
08135,3.88,2297.16
08136,10.24,1566.6
08137,26.77,11.73
08138,75.92,75.47
08139,47.91,4.8
08140,5.52,1080.62
08141,80.72,76.45
08142,24.89,5.91
08143,52.29,66.34
08144,35.41,25.64
08145,29.98,119.55
08146,30.78,57.24
08147,16.69,1433.43
08148,38.81,92.48
08149,28.98,41.1
08150,27.04,10.76
08151,68.59,8.3
08152,15.26,11.27
08153,5.53,116.46
08154,6.1,142.95
08155,16.51,543.06
08156,15.03,954.89
08157,8.47,1330.81
08158,8.85,445.31
08159,9.16,1977.4
08160,19.65,20.36
08161,57.22,259.82
08162,33.5,84.39
