Codigo Municipio,Nº edificios,Nº Inmuebles
24011,126.0,129.0
38007,967.0,1249.0
25042,169.0,174.0
12020,162.0,189.0
44035,193.0,196.0
05022,1760.0,2497.0
10025,375.0,415.0
02015,953.0,1017.0
27005,2556.0,4758.0
48014,370.0,727.0
09041,34.0,34.0
19050,50.0,53.0
09043,239.0,251.0
09044,66.0,69.0
24012,303.0,364.0
11008,7504.0,9937.0
36002,1323.0,1598.0
05023,146.0,148.0
37044,383.0,407.0
34027,1699.0,2005.0
47014,41.0,41.0
01013,483.0,512.0
46046,923.0,1154.0
46045,686.0,862.0
31049,317.0,491.0
40026,144.0,157.0
48015,1492.0,21084.0
17016,373.0,509.0
09045,387.0,397.0
34028,133.0,140.0
09046,79.0,79.0
16030,46.0,46.0
25044,108.0,115.0
37045,32.0,32.0
43022,1039.0,1211.0
06017,180.0,198.0
28017,829.0,993.0
25045,62.0,63.0
04020,220.0,231.0
04021,171.0,191.0
42032,198.0,205.0
42033,65.0,65.0
18023,6447.0,11473.0
31050,2160.0,4582.0
44036,48.0,49.0
32010,343.0,363.0
16031,135.0,140.0
32011,851.0,906.0
21011,2045.0,2528.0
18024,446.0,486.0
18025,161.0,165.0
23012,2459.0,3749.0
20019,722.0,6801.0
05024,567.0,612.0
05025,155.0,164.0
44037,571.0,711.0
27006,1614.0,2541.0
34029,610.0,642.0
28018,2892.0,4129.0
47015,246.0,260.0
04022,762.0,834.0
48092,250.0,571.0
23902,1656.0,1947.0
23014,1455.0,1659.0
27007,2013.0,2174.0
08020,2044.0,2907.0
17013,3688.0,5232.0
31137,111.0,135.0
31051,253.0,262.0
04023,143.0,152.0
20020,91.0,102.0
37046,2022.0,9940.0
12022,586.0,892.0
14008,1901.0,2169.0
31052,83.0,89.0
20021,72.0,116.0
09047,66.0,66.0
50045,1263.0,1451.0
37047,107.0,109.0
46047,330.0,402.0
25046,411.0,478.0
16032,329.0,352.0
25170,201.0,246.0
17018,371.0,479.0
25047,538.0,684.0
25048,757.0,957.0
43023,255.0,358.0
25049,136.0,142.0
44039,351.0,375.0
08021,78.0,78.0
25050,1249.0,2524.0
46048,1509.0,4252.0
46049,212.0,243.0
43024,930.0,1332.0
25051,1555.0,2647.0
25052,806.0,1045.0
14009,1670.0,2002.0
23015,860.0,1115.0
16033,1445.0,1619.0
34031,16.0,16.0
50046,198.0,202.0
33005,1672.0,1979.0
44038,141.0,151.0
28019,807.0,968.0
16034,239.0,247.0
09048,963.0,2006.0
22052,597.0,717.0
49020,336.0,361.0
45020,1427.0,1531.0
10026,644.0,664.0
24014,2421.0,6080.0
22053,691.0,1025.0
41015,2782.0,3001.0
29022,235.0,245.0
47016,79.0,82.0
12024,201.0,249.0
12025,245.0,253.0
46050,247.0,247.0
46051,3474.0,6562.0
04024,1215.0,2075.0
29023,1043.0,3906.0
29024,320.0,327.0
29025,7776.0,43487.0
18027,1362.0,1737.0
18028,673.0,748.0
11901,2740.0,3585.0
29026,795.0,865.0
18029,1073.0,1347.0
14010,2109.0,2786.0
29027,1094.0,1330.0
11009,616.0,674.0
29028,816.0,1034.0
29029,381.0,457.0
12026,851.0,1325.0
03022,158.0,162.0
22054,637.0,3408.0
23016,367.0,386.0
25053,544.0,621.0
49021,3075.0,12198.0
24015,1735.0,2278.0
46052,235.0,342.0
49022,182.0,191.0
03023,987.0,1185.0
46053,317.0,327.0
03024,1741.0,2691.0
46054,1228.0,7724.0
03025,827.0,960.0
03026,889.0,1436.0
03027,193.0,218.0
46055,578.0,818.0
03028,619.0,776.0
46056,144.0,177.0
12027,5603.0,18313.0
12028,5661.0,21102.0
46057,278.0,332.0
46904,450.0,488.0
03030,745.0,814.0
03031,3223.0,59380.0
30010,2111.0,4656.0
46060,3055.0,6590.0
46059,642.0,912.0
46058,646.0,1192.0
43025,438.0,494.0
03032,137.0,149.0
03033,129.0,133.0
46061,173.0,210.0
46062,1692.0,2894.0
03029,464.0,470.0
