Codigo Municipio,Total Contratos,Contratos Hombres,Contratos Mujeres
08215,225,124,101
08216,7,3,4
08217,7218,3644,3574
08218,1058,496,562
08219,1931,1026,905
08220,236,121,115
08221,7653,3307,4346
08222,809,620,189
08223,790,328,462
08224,98,72,26
08225,20,17,3
08226,72,36,36
08227,939,702,237
08228,92,61,31
08229,91,71,20
08230,774,479,295
08231,4725,1807,2918
08232,410,245,165
08233,201,116,85
08234,189,102,87
08235,551,240,311
08236,294,174,120
08237,271,170,101
08238,4279,2507,1772
08239,334,163,171
08240,3947,2795,1152
08241,4,2,2
08242,41,18,23
08243,25,21,4
08244,746,432,314
08245,9893,4784,5109
08246,228,155,73
08247,49,24,25
08248,877,529,348
08249,61,43,18
08250,755,503,252
08251,3623,2338,1285
08252,12263,6546,5717
08253,9,8,1
08254,463,284,179
08255,11,10,1
08256,39,20,19
08257,282,250,32
08258,105,43,62
08259,1563,820,743
08260,12713,9485,3228
08261,2278,1132,1146
08262,1109,576,533
08263,4460,2519,1941
08264,1172,922,250
08265,347,223,124
08266,13699,6203,7496
08267,2647,1685,962
08268,320,241,79
08269,581,323,258
08270,7482,3696,3786
08271,4,1,3
08272,18,16,2
08273,1124,885,239
08274,686,393,293
08275,47,28,19
08276,39,32,7
08277,18,10,8
08278,738,479,259
08279,38344,19011,19333
08280,15,10,5
08281,1087,451,636
08282,599,250,349
08283,699,369,330
08284,4492,2441,2051
08285,2310,1002,1308
08286,459,297,162
08287,732,636,96
08288,610,453,157
08289,372,182,190
08290,145,87,58
08291,2273,713,1560
08292,103,64,39
08293,12,5,7
08294,282,187,95
08295,1588,855,733
08296,329,207,122
08297,5,2,3
08298,10397,5457,4940
08299,82,31,51
08300,1143,618,525
08301,10138,5795,4343
08302,1177,591,586
08303,40,21,19
08304,554,460,94
08305,8768,4289,4479
08306,40,21,19
08307,21210,11481,9729
08308,26,15,11
08901,67,32,35
08902,1115,630,485
08903,23,11,12
08904,482,207,275
08905,350,229,121
09001,250,113,137
09003,90,41,49
09006,31,9,22
09007,12,9,3
09009,15,13,2
09010,4,4,0
09011,1,1,0
09012,1,1,0
09013,6,5,1
09014,13,7,6
09016,646,324,322
09017,243,217,26
09018,9359,5004,4355
09019,69,35,34
09020,92,87,5
09021,2,2,0
09022,7,4,3
09023,91,75,16
09024,14,9,5
09025,41,28,13
09026,72,19,53
09027,0,0,0
09029,54,41,13
09030,7,6,1
09032,10,10,0
09033,19,6,13
09034,61,42,19
09035,48,38,10
09036,1,0,1
09037,7,7,0
09038,43,23,20
09039,1,1,0
09041,2,0,2
09043,8,8,0
09044,17,11,6
09045,44,42,2
09046,0,0,0
09047,4,3,1
09048,292,185,107
09050,5,2,3
09051,39,27,12
09052,1,1,0
09054,13,11,2
09055,9,5,4
09056,5797,3642,2155
09057,7,5,2
09058,34,20,14
09059,65639,32505,33134
09060,25,23,2
09061,13,13,0
09062,1,0,1
09063,21,14,7
09064,239,169,70
09065,9,5,4
09066,15,14,1
09067,52,38,14
09068,5,2,3
09070,1,1,0
09071,57,55,2
09072,28,17,11
09073,134,66,68
09074,136,47,89
09075,10,6,4
09076,1,1,0
09077,7,0,7
09078,3,1,2
09079,0,0,0
09082,9,7,2
09083,11,9,2
09084,7,7,0
09085,142,93,49
09086,141,68,73
09088,2,2,0
09090,8,8,0
09091,55,27,28
09093,5,4,1
09094,4,3,1
09095,12,4,8
09098,56,33,23
09100,11,7,4
09101,3,3,0
09102,4,3,1
09103,27,18,9
09104,6,6,0
09105,10,9,1
09108,41,25,16
09109,192,139,53
09110,8,5,3
09112,15,10,5
09113,164,98,66
09114,4,3,1
09115,1,1,0
09117,7,5,2
09119,1,1,0
09120,5,5,0
09122,12,5,7
09123,3,2,1
09124,234,112,122
09125,38,18,20
09127,13,6,7
09128,6,6,0
09129,16,11,5
09130,25,10,15
09131,68,49,19
09132,13,11,2
09133,22,12,10
09134,55,34,21
09135,11,6,5
09136,116,82,34
09137,52,45,7
09138,65,50,15
09139,16,11,5
09140,8,6,2
09141,114,49,65
09143,1,1,0
09144,1,1,0
09148,8,7,1
09149,15,12,3
09151,150,65,85
09152,518,403,115
09154,15,10,5
09155,16,14,2
09159,36,20,16
09160,16,13,3
09162,23,21,2
09163,38,28,10
09164,17,13,4
09166,3,3,0
09167,8,2,6
09168,207,147,60
09169,21,14,7
09170,4,4,0
09172,12,11,1
09173,3,3,0
09174,83,59,24
09175,3,2,1
09176,3,2,1
09177,133,58,75
09178,0,0,0
09179,2,2,0
09180,12,11,1
09181,14,13,1
09182,7,6,1
09183,3,3,0
09184,1,1,0
09189,22,20,2
09190,6,1,5
09191,1,1,0
09192,10,6,4
09194,1394,439,955
