Codigo Municipio,1 hijo/a,2 hijos/as,3 hijos/as,4 o más hijos/as
22049,*,20,10,*
22050,10,20,*,*
42030,*,20,*,*
22051,*,15,15,*
06016,185,605,155,145
08019,134345,202900,70105,38325
34025,*,5,*,*
39009,385,485,125,120
39010,50,125,35,45
37042,*,*,*,*
16029,*,15,10,10
47013,*,15,10,*
49019,10,45,10,15
45018,75,80,25,15
05021,160,365,110,100
32009,1320,2115,700,240
42031,*,*,*,*
50044,40,45,15,*
39011,195,290,110,55
45019,640,1225,350,320
31047,10,45,10,15
31048,10,20,10,5
24011,15,30,10,20
38007,60,280,165,110
25042,45,15,20,*
12020,20,40,5,*
44035,10,25,10,*
05022,120,265,130,85
10025,25,65,35,15
02015,115,185,85,130
27005,405,425,135,90
48014,135,165,45,30
09041,*,*,*,*
19050,*,*,*,*
09043,*,15,10,20
09044,*,5,5,*
24012,15,25,20,20
11008,1305,3395,810,745
36002,320,540,215,100
05023,15,20,10,15
37044,*,70,35,35
34027,75,190,145,70
47014,*,10,*,*
01013,50,95,45,30
46046,80,170,50,40
46045,70,275,70,25
31049,40,100,55,*
40026,10,15,15,*
48015,3835,5885,1910,1275
17016,90,130,45,30
09045,25,25,20,20
34028,*,15,5,20
09046,*,*,*,*
16030,*,*,*,*
25044,*,30,*,*
37045,*,*,*,*
43022,215,340,75,*
06017,20,55,15,10
28017,140,200,65,30
25045,*,*,*,*
04020,*,30,*,55
04021,*,35,15,10
42032,*,25,20,*
42033,*,5,*,*
18023,920,2800,1145,930
31050,445,810,510,350
44036,*,*,*,*
32010,45,75,30,20
16031,*,*,*,*
32011,130,140,85,35
21011,260,660,190,110
18024,30,160,70,45
18025,20,35,30,20
23012,220,695,400,285
20019,920,2110,760,340
05024,*,25,15,25
05025,*,20,5,*
44037,55,80,30,10
27006,380,295,95,80
34029,50,110,65,40
28018,425,605,210,160
47015,10,35,25,15
04022,50,130,60,35
48092,125,95,45,15
23902,115,415,150,180
23014,125,440,200,150
27007,350,515,125,145
08020,530,985,180,80
17013,250,545,220,165
31137,10,20,15,10
31051,25,40,10,15
04023,*,20,10,*
20020,*,10,10,10
37046,865,2105,650,595
12022,30,65,25,*
14008,180,455,290,170
31052,*,15,5,10
20021,15,30,*,20
09047,*,*,*,*
50045,130,240,75,20
37047,*,10,10,*
46047,45,100,35,35
25046,40,70,25,20
16032,20,50,20,20
25170,45,45,10,5
17018,45,90,40,*
25047,85,195,75,30
25048,180,285,160,70
43023,25,55,25,*
25049,20,30,10,*
44039,15,45,20,10
08021,*,*,*,*
25050,470,575,290,60
46048,420,590,245,145
46049,20,30,20,10
43024,175,325,75,40
25051,155,395,75,*
25052,165,420,125,40
14009,145,450,275,165
23015,90,285,125,85
16033,140,215,150,110
34031,*,*,*,*
50046,20,40,15,*
33005,155,210,120,110
44038,15,20,10,*
28019,95,205,95,25
16034,*,30,15,25
09048,125,230,85,90
22052,85,210,55,15
49020,10,45,20,20
45020,95,260,170,90
10026,40,75,40,25
24014,755,1335,615,350
22053,100,175,40,25
41015,405,705,455,265
29022,30,35,10,5
47016,*,10,*,15
12024,20,15,10,*
12025,15,15,10,5
46050,10,20,10,10
46051,810,1750,360,300
04024,245,570,180,140
29023,535,670,70,135
29024,15,75,15,25
29025,5205,7280,2670,1345
18027,215,320,270,195
18028,25,225,55,100
11901,460,825,310,425
29026,35,195,115,90
18029,70,320,190,145
14010,190,590,345,305
29027,195,310,160,205
11009,35,80,25,30
29028,70,175,110,100
29029,10,65,30,60
12026,70,230,75,40
03022,15,30,15,*
22054,165,160,55,65
23016,15,65,50,35
25053,110,220,60,30
49021,1640,2205,770,740
24015,130,325,195,155
46052,60,105,25,10
49022,10,45,30,20
03023,65,270,130,45
46053,60,90,40,*
03024,295,740,310,210
46054,1060,2510,520,335
03025,95,240,75,50
03026,170,235,95,35
03027,15,45,5,*
46055,145,220,100,*
03028,80,225,70,30
46056,*,*,*,*
12027,1835,3740,1260,770
12028,1680,2425,645,380
46057,10,75,40,20
46904,95,120,45,25
03030,110,185,35,30
03031,5585,8050,3210,1995
30010,755,1170,710,385
46060,845,1730,610,375
46059,50,285,85,50
46058,140,350,100,55
43025,90,140,40,*
03032,*,20,5,*
03033,20,25,5,*
46061,45,55,10,10
46062,400,805,365,155
03029,55,50,35,*
03034,160,610,185,50
03035,60,130,40,20
03036,10,15,10,*
03037,45,35,40,15
03038,35,60,25,15
03039,5,15,*,*
03040,35,65,20,10
46063,185,340,100,55
46064,85,80,20,15
46065,140,275,55,55
46066,95,180,115,45
46067,190,320,125,45
03041,555,1670,390,260
43026,85,215,35,25
46068,25,50,25,10
46069,20,25,15,*
03042,715,520,100,*
04026,*,*,*,*
04027,25,25,15,10
12029,95,170,45,25
10027,*,10,10,*
06018,25,145,50,65
04028,20,40,10,*
24016,25,95,20,40
31250,265,470,130,130
48016,445,975,260,205
01014,20,55,25,20
22246,15,10,*,*
20022,45,120,75,45
42034,*,*,*,*
22055,40,55,25,*
09050,*,10,*,*
31053,20,80,45,60
26027,10,15,10,15
47017,10,35,10,15
47018,*,*,*,*
18030,25,90,85,45
40028,*,15,10,*
05026,20,20,25,15
24017,25,120,35,50
24018,*,30,10,15
40029,*,5,*,*
50047,*,*,*,*
08022,1500,2250,720,460
20074,770,2095,730,480
26028,*,15,10,10
26029,*,*,*,*
44040,15,35,5,*
15008,725,965,255,190
31905,270,470,145,150
04029,845,1745,955,810
05027,30,30,15,20
06019,80,350,215,60
42035,20,160,60,45
24019,30,40,30,40
09051,*,20,15,15
37049,10,25,20,15
48017,1455,2370,765,415
49023,70,145,70,65
40030,20,65,50,25
01016,50,45,40,20
19051,*,10,10,*
40031,55,75,15,20
05029,10,10,15,15
48018,80,140,55,40
